ID,Name,Street Address,Suburb,Postcode,State,Latitude,Longitude,PAF,Previous Match,Status,Bedrooms,Bathrooms,Garages,Carports,Living Areas,Cooling,Heating,Land Size,Building Size,Price per m2,First Listed,Days on the market,Listed Price,First Listed Price,First to Listed Price Change,Price Guide,First Listed Price Guide,Period,VPA,Median Price,Change of Listed Price to Median Price,Property Type,Agency,Agency ID,Primary Agent,Portal ID,Listing Link,Extracted
20972161,The Homeowner,8008/222 Margaret Street,Brisbane City,4000,QLD,-27.47168534,153.0287443,,,current,4,2,2,,,ducted,ducted,,,,25-04-2022,64,$1200 (Furnished),$1200 (Furnished),0.0%,1200,1200,week,,,,Apartment,Cheers Realty - Property Managers,27631,Brooke Lin,434257871,https://www.nexu.com.au/app/#/listing/20972161,29-06-2022
21293601,The Homeowner,10 Kentucky Street,Sunnybank Hills,4109,QLD,-27.59376235,153.0528228,,,current,4,2,,,,,,,289,3,08-06-2022,20,$750 per week,$770 per week,-2.6%,750,770,week,VPA-3,899000,,House,Link Living - Fortitude Valley,37915,Brad Minhinnick,434570983,https://www.nexu.com.au/app/#/listing/21293601,29-06-2022
20972151,The Homeowner,12 Wallum Street,Acacia Ridge,4110,QLD,-27.57832744,153.0202996,,,current,3,1,1,1,,split-system,split-system,,,,25-04-2022,64,UNDER APPLICATION!,$420 per week,-2.4%,410,420,week,,570000,,House,Cheers Realty - Property Managers,27631,Gian Wong,434257895,https://www.nexu.com.au/app/#/listing/20972151,29-06-2022
21069919,The Homeowner,45 Waterside Drive,Springfield Lakes,4300,QLD,-27.67728307,152.9243739,,,current,5,3,2,,,a/c,,,,,07-05-2022,52,$650 per week,$650 per week,0.0%,650,650,week,VPA-2,790000,,House,McGrath Springfield - Springfield,24341,McGrath Springfield,434348555,https://www.nexu.com.au/app/#/listing/21069919,29-06-2022
21298598,The Homeowner,A / 31 Griffith Place,Seven Hills,4170,QLD,-27.47852776,153.0727405,,,current,4,2,2,,,,,,195,4,09-06-2022,19,$750/w,$850/w,-11.8%,750,850,week,VPA-1,,,Townhouse,Australian Property Management Alliance - Mango Hill,26275,Bella Liu,434575571,https://www.nexu.com.au/app/#/listing/21298598,29-06-2022
21291688,The Homeowner,2609/35 Burdett St,Albion,4010,QLD,-27.43123093,153.0470222,,,current,1,1,1,,1,ducted,ducted,,,,08-06-2022,20,$470 per week,$490 per week,-4.1%,470,490,week,,350000,,Apartment,Jade Management Pty Ltd - ALBION,117121,Jade Albion,434569283,https://www.nexu.com.au/app/#/listing/21291688,29-06-2022
21183295,The Homeowner,4 Jude Street,Bracken Ridge,4017,QLD,-27.3186844,153.034995,,,current,3,2,,,,a/c,,,,,24-05-2022,35,$700 pw,$725 pw,-3.4%,700,725,week,,656250,,House,McGrath Estate Agents - Paddington,24852,Elizabeth Holmes,434459287,https://www.nexu.com.au/app/#/listing/21183295,29-06-2022
11913419,The Homeowner,34 Jones Street,Coomera,4209,QLD,-27.84846477,153.3367838,,,current,4,2,2,,1,a/c,,,,,04-06-2022,24,$575 per week,$575 per week,0.0%,575,575,week,VPA-2,670000,,House,Blue Coast Realty Pty Ltd,37701,"Ivan Bugoni, Sea & City Rentals",429156750,https://www.nexu.com.au/app/#/listing/11913419,29-06-2022
21053869,The Homeowner,267 Main Street,Kangaroo Point,4169,QLD,-27.4752016,153.0355953,,,current,4,4,,2,,,,,280,12,05-05-2022,54,"$3,500 per week","$3,700 per week",-5.4%,3500,3700,week,,2000000,,House,Sai Real Estate Group Pty Ltd - BRISBANE,81828,NATASHA DODEJA,434334227,https://www.nexu.com.au/app/#/listing/21053869,29-06-2022
18888350,The Homeowner,5 Bungunya Street,Banyo,4014,QLD,-27.37337207,153.0809152,,,current,3,2,,,1,a/c,,,,,09-06-2022,19,$775 pw,$775 pw,0.0%,775,775,week,,803000,,House,Belle Property  - Ascot,29788,Angela Galvin,433134282,https://www.nexu.com.au/app/#/listing/18888350,29-06-2022
21315841,The Homeowner,1/12 Dacca Street,Red Hill,4059,QLD,-27.45108006,152.9924995,,,current,3,1,,,1,a/c,,,,,13-06-2022,16,$575 p/wk,$575 p/wk,0.0%,575,575,week,VPA-3,1175000,,Duplex/semi-detached,LJ Hooker - STAFFORD,16449,LJ Hooker Stafford Rental Team,434591371,https://www.nexu.com.au/app/#/listing/21315841,29-06-2022
21315960,The Homeowner,15 Brookfield Street,North Lakes,4509,QLD,-27.22408517,153.0229727,,,current,3,2,1,,,a/c,split-system,,,,13-06-2022,16,$510.00 per week,$510.00 per week,0.0%,510,510,week,VPA-2,580000,,House,Harcourts  - North Lakes,19529,Harcourts North Lakes Leasing,434591519,https://www.nexu.com.au/app/#/listing/21315960,29-06-2022
20686569,The Homeowner,538 Mains Road,MacGregor,4109,QLD,-27.56348804,153.0653098,,,current,3,1,2,,,,,,,,21-03-2022,99,$430 per week,$430 per week,0.0%,430,430,week,VPA-1,855000,,House,Property Management,27128,Gail Burton,434036539,https://www.nexu.com.au/app/#/listing/20686569,29-06-2022
21316205,The Homeowner,47 Prince of Wales Parade,Alexandra Hills,4161,QLD,-27.5221176,153.2256082,,,current,3,1,1,,,a/c,split-system,,,,13-06-2022,16,$590 per week,$590 per week,0.0%,590,590,week,VPA-1,605000,,House,Raine & Horne - Onsite Sales,17601,"Chantal Bulley, Michael Bulley",434591715,https://www.nexu.com.au/app/#/listing/21316205,29-06-2022
10111003,The Homeowner,295 Horizon Drive,Westlake,4074,QLD,-27.55382133,152.9124116,,,current,3,2,2,,,a/c,,631m2,,1,28-06-2022,1,$475 per week,,,475,,week,VPA-3,850000,,House,Kingsman Property - SUNNYBANK HILLS,30286,Rental,427756522,https://www.nexu.com.au/app/#/listing/10111003,29-06-2022
21223912,The Homeowner,1/17 Armadale Street,St Lucia,4067,QLD,-27.49415,152.9938439,,,current,3,3,2,,,a/c,,,,,30-05-2022,29,LEASED FOR $880!,$875 per week,0.6%,880,875,week,,1467000,,Townhouse,Raine & Horne - Brisbane West & Kenmore,24166,Megan Zelauhi,434499995,https://www.nexu.com.au/app/#/listing/21223912,29-06-2022
21273072,The Homeowner,3 Aspect Tce,Springfield Lakes,4300,QLD,-27.67451722,152.9148952,,,current,4,2,2,,,,,,,,06-06-2022,22,$525 PER WEEK-APPLICATION APPROVED,$535 PER WEEK,-1.9%,525,535,week,,590000,,House,Guru Property - Springfield Lakes,44125,Guru Property Leasing Team,434548907,https://www.nexu.com.au/app/#/listing/21273072,29-06-2022
19981022,The Homeowner,1007/19 Hope Street,South Brisbane,4101,QLD,-27.47186628,153.0160182,,,current,2,1,,,,"a/c, ducted",ducted,,,,17-01-2022,163,Leasd,$530 per week,26.4%,670,530,week,,585000,,Apartment,Prestige Fortune Property,80710,"PRESTIGE FORTUNE PROPERTY, PRESTIGE FORTUNE PROPERTY MANAGEMENT",433574758,https://www.nexu.com.au/app/#/listing/19981022,29-06-2022
21027987,The Homeowner,5209/222 Margaret Street,Brisbane City,4000,QLD,-27.47168534,153.0287443,,,current,1,1,,,,a/c,,,,,03-05-2022,56,$500 per week,$510 per week,-2.0%,500,510,week,VPA-2,315000,,Unit,Song Properties - Brisbane,23481,Jeanie Chan,434312011,https://www.nexu.com.au/app/#/listing/21027987,29-06-2022
21316656,The Homeowner,11/30 Creekside Terrace,Albany Creek,4035,QLD,-27.34161413,152.9710813,,,current,3,2,1,,,,,,,,13-06-2022,15,APPLICATION APPROVED,$450 per week,0.0%,450,450,week,VPA-1,,,Townhouse,Australian Property Management Alliance - Mango Hill,26275,Mindy Wu,434591819,https://www.nexu.com.au/app/#/listing/21316656,29-06-2022
21316604,The Homeowner,2/48 Oceana Terrace,Manly,4179,QLD,-27.45868959,153.1860466,,,current,3,3,2,,,ducted,,,,,13-06-2022,15,$895 per week,$895 per week,0.0%,895,895,week,,,,Townhouse,Bell Estate Agents,46907,"Bridgitte Nelson, Jonathan Bell",434591923,https://www.nexu.com.au/app/#/listing/21316604,29-06-2022
21316589,The Homeowner,4/11 Strathairlie Square,MacGregor,4109,QLD,-27.55763096,153.0695637,,,current,2,1,1,,,a/c,,,,,13-06-2022,15,$390 per week,$390 per week,0.0%,390,390,week,,388000,,Unit,Ray White  - ROCHEDALE SOUTH,28061,Moshy Khan,434591959,https://www.nexu.com.au/app/#/listing/21316589,29-06-2022
11901668,The Homeowner,24 Solo Street,Newport,4020,QLD,-27.21517454,153.0789515,,,current,4,2,2,,,,,294m2,,2,14-04-2022,75,$660 PER WEEK,,,660,,week,VPA-1,981000,,House,Rent My Property - Carina,29615,Rent My Property,429147490,https://www.nexu.com.au/app/#/listing/11901668,29-06-2022
21316867,The Homeowner,2276/38 Hope Street,South Brisbane,4101,QLD,-27.47315124,153.0162665,,,current,1,1,1,,,ducted,ducted,,,,13-06-2022,15,$550 Per Week,$490 pw,12.2%,550,490,week,VPA-1,799000,,House,Airtrip - South Brisbane,42813,Suren Gopalan,434592287,https://www.nexu.com.au/app/#/listing/21316867,29-06-2022
21316887,The Homeowner,28 Rosemont Court,Underwood,4119,QLD,-27.61162762,153.1088248,,,current,4,2,3,,,a/c,,,,,13-06-2022,15,$750 per week,$750 per week,0.0%,750,750,week,,777750,,House,Coronis - Inner North,29329,Kim Barrow,434592247,https://www.nexu.com.au/app/#/listing/21316887,29-06-2022
21316904,The Homeowner,28 Nevada Road,Park Ridge,4125,QLD,-27.71032037,153.0910943,,,current,4,2,2,,,a/c,,,,,13-06-2022,15,$520 Weekly,$520 Weekly,0.0%,520,520,week,VPA-1,524450,,House,Coronis - LUTWYCHE,16521,Sharon Sempf,434592207,https://www.nexu.com.au/app/#/listing/21316904,29-06-2022
21316940,The Homeowner,141/18 Tank St,Brisbane City,4000,QLD,-27.46846672,153.0195327,,,current,1,1,,,,a/c,,,,,13-06-2022,15,"$480/week, Furnished","$480/week, Furnished",0.0%,480,480,week,VPA-1,315000,,Apartment,Airtrip - South Brisbane,42813,"Suren Gopalan, Airtrip Rentals Team",434592135,https://www.nexu.com.au/app/#/listing/21316940,29-06-2022
9743130,The Homeowner,3/51 Ridge Street,Greenslopes,4120,QLD,-27.50975286,153.0491063,,,current,2,1,,,,a/c,,559m2,,1,24-06-2022,4,$365 Weekly,,,365,,week,VPA-1,420500,,Unit,RE/MAX Advantage - Manly,19064,RE/MAX Rentals,427049702,https://www.nexu.com.au/app/#/listing/9743130,29-06-2022
21316858,The Homeowner,4 Chapel Hill Road,Chapel Hill,4069,QLD,-27.50746559,152.9523646,,,current,4,3,2,,2,a/c,split-system,,,,13-06-2022,15,$775,$775,0.0%,775,775,week,,1156000,,House,Plum Property - TOOWONG,31981,Deb Hawes,434592303,https://www.nexu.com.au/app/#/listing/21316858,29-06-2022
21316883,The Homeowner,37 Waterville Drive,Thornlands,4164,QLD,-27.55698486,153.2781989,,,current,4,2,2,,2,,,,,,13-06-2022,15,$730.00 per week pw,$730.00 per week pw,0.0%,730,730,week,,784000,,House,Elever Property Group - Brisbane,78880,Leasing Team,434592255,https://www.nexu.com.au/app/#/listing/21316883,29-06-2022
20977560,The Homeowner,35 Mossgrove Street,Woolloongabba,4102,QLD,-27.49322969,153.0371369,,,current,6,4,2,,,a/c,,,,,26-04-2022,63,"$1,600 Per Week","$1,600 Per Week",0.0%,1600,1600,week,,1525000,,House,Place - Woolloongabba,43739,Lewis Masters,434263775,https://www.nexu.com.au/app/#/listing/20977560,29-06-2022
21317556,The Homeowner,2b Kingfisher Lane,East Brisbane,4169,QLD,-27.48596045,153.0430834,,,current,4,3,2,,3,,,,,,13-06-2022,15,$925 per week,$925 per week,0.0%,925,925,week,,1410000,,House,Local Gurus Real Estate,117843,"Marin Truong, Iris Jia",434592475,https://www.nexu.com.au/app/#/listing/21317556,29-06-2022
21072210,The Homeowner,1213/70 Longland St,Newstead,4006,QLD,-27.4509017,153.0433505,,,current,3,2,2,,,ducted,ducted,,,,09-05-2022,51,Under Application,"$1,000 per week",0.0%,1000,1000,week,,1355000,,Apartment,Cheers Realty - Property Managers,27631,Brooke Lin,434350183,https://www.nexu.com.au/app/#/listing/21072210,29-06-2022
21095352,The Homeowner,92 Nardie Street,Eight Mile Plains,4113,QLD,-27.57126499,153.1041972,,,current,4,2,2,1,,a/c,,,,,11-05-2022,48,Property Leased $820 Per Week!,$820 per week,0.0%,820,820,week,VPA-1,966000,,House,Ray White - Carina,30263,Kylie Ingle,434374439,https://www.nexu.com.au/app/#/listing/21095352,29-06-2022
21072375,The Homeowner,23 Mervyn Jensen Drive,Redbank Plains,4301,QLD,-27.66056338,152.8461372,,,current,4,2,2,,,,,,,,09-05-2022,51,$475 Per Week,$475 Per Week,0.0%,475,475,week,VPA-1,436250,,House,Coronis - LUTWYCHE,16521,Kerry McCarthy,434349771,https://www.nexu.com.au/app/#/listing/21072375,29-06-2022
21317503,The Homeowner,1/55 Regent Street,Woolloongabba,4102,QLD,-27.50050326,153.0383613,,,current,1,1,1,,,,,,,,13-06-2022,15,$310 per week,$310 per week,0.0%,310,310,week,,320000,,Unit,Harcourts Property Centre -,29292,"Jake McClean, Dimitri Loukaras",434592575,https://www.nexu.com.au/app/#/listing/21317503,29-06-2022
